index,scenario,location,fossil_depletion,human_toxicity,land_occupation,marine_toxicity,metal_depletion,climate_change,tech_type
760,95,PRT_1,1452340.983635208,22813.549658045256,2503.1617108359096,3054.7237636125506,10369.033895337763,2664333.098385957,ccgt
761,95,PRT_2,641128.8521266875,10070.93036002318,1105.0085430618135,1348.4929243179367,4577.3595002056345,1176156.866947151,ccgt
762,95,PRT_1,538593.0923582034,4429857.905641077,50158902.63633235,61325.38692665164,130255.6242109657,2030620.9018040136,chp_biofuel_extraction
763,95,PRT_2,267714.4285195922,2201916.2415157086,24932109.499697804,30482.55008791026,64745.1861003622,1009345.5003036866,chp_biofuel_extraction
764,95,PRT_1,2307015.267540763,4313325.190549815,74583281.82207488,277882.09764663235,1840997.4231922696,106113345.88753262,hydro_reservoir
765,95,PRT_2,420560.0525899389,786302.6718972877,13596246.789843932,50656.842737173305,335606.7833660326,19344056.77970511,hydro_reservoir
766,95,PRT_1,1931102.9995009792,3093509.55726559,10324718.679513456,228375.99755073767,2244714.6682036286,9239663.862210078,hydro_run_of_river
767,95,PRT_2,299248.9737200285,479378.65584800346,1599946.4915081258,35389.7658006881,347847.0909774429,1431803.4454914622,hydro_run_of_river
768,96,PRT_1,95854.64558384188,1505.6964869970045,165.20891535447188,201.6120642582977,684.3572413667375,175846.24254274485,ccgt
769,96,PRT_2,41161.48305019599,646.5696059984616,70.94329051747773,86.57537164877732,293.87369614920664,75511.1250766959,ccgt
770,96,PRT_1,39142.19065337564,321939.4106054493,3645292.4439841686,4456.815397436591,9466.312414473388,147575.1390258833,chp_biofuel_extraction
771,96,PRT_2,18342.154281982275,150861.82556995784,1708195.5632632838,2088.4777847518385,4435.943923663373,69154.17668286012,chp_biofuel_extraction
772,96,PRT_1,2313491.785470587,4325434.051868073,74792660.56732295,278662.2001509837,1846165.682365853,106411239.44589075,hydro_reservoir
773,96,PRT_2,422408.1081958794,789757.9003523367,13655992.407491129,50879.44272407926,337081.53113052365,19429059.84253339,hydro_reservoir
774,96,PRT_1,1898274.3942801044,3040920.128307777,10149199.24133024,224493.62283149487,2206554.6882880027,9082590.274014903,hydro_run_of_river
775,96,PRT_2,291206.0424148,466494.369060823,1556944.6406971668,34438.5930975551,338497.9853725809,1393320.7846772226,hydro_run_of_river
776,97,PRT_1,1480201.2013305705,23251.181362334308,2551.179794038402,3113.322446712731,10567.942791299383,2715442.9279441624,ccgt
777,97,PRT_2,654188.5733795799,10276.07405746078,1127.5174404645477,1375.9615706667516,4670.59978871967,1200115.0475547672,ccgt
778,97,PRT_1,569308.4150903104,4682487.427184674,53019405.127401486,64822.7007204028,137683.94735895548,2146424.793889564,chp_biofuel_extraction
779,97,PRT_2,287587.1607586563,2365366.8710632506,26782847.014976177,32745.30282488711,69551.29145021527,1084270.310950459,chp_biofuel_extraction
780,97,PRT_1,2306113.986326235,4311640.104620349,74554144.38559155,277773.5375005482,1840278.2010801043,106071890.60693492,hydro_reservoir
781,97,PRT_2,420594.75297527766,786367.5496847517,13597368.615371265,50661.022430304416,335634.47426209704,19345652.85669849,hydro_reservoir
782,97,PRT_1,1931778.8434823407,3094592.218219511,10328332.10613058,228455.92417478203,2245500.269437106,9242897.543278717,hydro_run_of_river
783,97,PRT_2,298857.9735970098,478752.2974312007,1597855.9938625486,35343.52536547573,347392.5923247888,1429932.6443442898,hydro_run_of_river
784,98,PRT_1,90186.6474662336,1416.6628798931763,155.43991756059654,189.6905053839953,643.8903914586078,165448.24706062724,ccgt
785,98,PRT_2,37785.31220571128,593.5363017795654,65.12433912632332,79.47423670535018,269.7694187671217,69317.50813127913,ccgt
786,98,PRT_1,36892.97149302869,303439.8765038204,3435823.7997101657,4200.71438676975,8922.351769832574,139095.0610142236,chp_biofuel_extraction
787,98,PRT_2,17207.596642957094,141530.23703317324,1602534.783430402,1959.2945716898828,4161.557720848396,64876.631187394094,chp_biofuel_extraction
788,98,PRT_1,2313515.881828299,4325479.103770492,74793439.57622823,278665.10257929494,1846184.9112513657,106412347.78061935,hydro_reservoir
789,98,PRT_2,422417.2632459274,789775.0171475954,13656288.380251875,50880.54545822549,337088.8368574449,19429480.937706023,hydro_reservoir
790,98,PRT_1,1897905.867913408,3040329.771481768,10147228.900513042,224450.0401864262,2206126.313136,9080827.00206436,hydro_run_of_river
791,98,PRT_2,291162.3920116117,466424.4437696934,1556711.2620874902,34433.43091595516,338447.2461316729,1393111.9325067203,hydro_run_of_river
792,99,PRT_1,1379052.7141791857,21662.328565046675,2376.846753107073,2900.575790909205,9845.790002420796,2529885.083604771,ccgt
793,99,PRT_2,621288.8458475422,9759.281116790848,1070.8135815339808,1306.7632345728798,4435.711154596568,1139760.190135482,ccgt
794,99,PRT_1,513269.8090956924,4221577.205147768,47800558.05743121,58442.02253457016,124131.3346216077,1935146.249372045,chp_biofuel_extraction
795,99,PRT_2,261662.84780021204,2152142.779747018,24368528.844085865,29793.503877701845,63281.64630519961,986529.637137074,chp_biofuel_extraction
796,99,PRT_1,2307440.0710866805,4314119.427094939,74597015.25636545,277933.2656220195,1841336.4162819125,106132885.12779535,hydro_reservoir
797,99,PRT_2,420581.32928661787,786342.4520032316,13596934.6421902,50659.40553473574,335623.76216297044,19345035.42146176,hydro_reservoir
798,99,PRT_1,1930756.586008226,3092954.623918752,10322866.56605271,228335.03001716072,2244311.997062499,9238006.392758058,hydro_run_of_river
