spores,techs,exporting_region,unit,carriers,importing_region,transmission_capacity
56,ac_transmission,PRT_1,gw,electricity,PRT_2,4.8313606403971
56,ac_transmission,PRT_2,gw,electricity,PRT_1,4.8313606403971
57,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,9.988563286894399
57,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,9.988563286894399
57,ac_transmission,PRT_1,gw,electricity,PRT_2,4.7056758845857996
57,ac_transmission,PRT_2,gw,electricity,PRT_1,4.7056758845857996
58,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,5.4211194350723
58,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,5.4211194350723
58,ac_transmission,PRT_1,gw,electricity,PRT_2,4.832721826987401
58,ac_transmission,PRT_2,gw,electricity,PRT_1,4.832721826987401
59,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,9.9862272512557
59,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,9.9862272512557
59,ac_transmission,PRT_1,gw,electricity,PRT_2,4.7048878519992
59,ac_transmission,PRT_2,gw,electricity,PRT_1,4.7048878519992
60,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,5.4251456761304
60,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,5.4251456761304
60,ac_transmission,PRT_1,gw,electricity,PRT_2,4.835955087886201
60,ac_transmission,PRT_2,gw,electricity,PRT_1,4.835955087886201
61,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000325208234
61,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000325208234
61,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999792561004
61,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999792561004
62,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0001438512091
62,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0001438512091
62,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0005093029637
62,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0005093029637
63,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000614323038
63,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000614323038
63,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000055113177
63,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000055113177
64,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0003588749703
64,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0003588749703
64,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999954457420994
64,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999954457420994
65,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0004574711261003
65,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0004574711261003
65,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999992652714997
65,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999992652714997
66,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0001114840341
66,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0001114840341
66,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000409003564
66,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000409003564
67,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0004108377852
67,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0004108377852
