spores,techs,locs,carriers,unit,generated_road_transport
48,light_transport_ice,PRT_1,transport,billion_km,0.1114152269564628
48,light_transport_ice,PRT_2,transport,billion_km,0.0680306206454171
49,heavy_transport_ev,PRT_1,transport,billion_km,1.0683514867132455
49,heavy_transport_ev,PRT_2,transport,billion_km,1.2492940806287107
49,heavy_transport_ice,PRT_1,transport,billion_km,0.015514551581848
49,heavy_transport_ice,PRT_2,transport,billion_km,0.0080656398363105
49,light_transport_ev,PRT_1,transport,billion_km,37.584161146276486
49,light_transport_ev,PRT_2,transport,billion_km,39.86756955820445
49,light_transport_ice,PRT_1,transport,billion_km,0.1046987129953365
49,light_transport_ice,PRT_2,transport,billion_km,0.0565663912164979
50,heavy_transport_ev,PRT_1,transport,billion_km,1.0800974761473916
50,heavy_transport_ev,PRT_2,transport,billion_km,1.2555849989241414
50,heavy_transport_ice,PRT_1,transport,billion_km,0.0037648004328218
50,heavy_transport_ice,PRT_2,transport,billion_km,0.0017709598257351
50,light_transport_ev,PRT_1,transport,billion_km,37.66400375518073
50,light_transport_ev,PRT_2,transport,billion_km,39.91167088296005
50,light_transport_ice,PRT_1,transport,billion_km,0.0248410571541114
50,light_transport_ice,PRT_2,transport,billion_km,0.0124500191960159
51,heavy_transport_ev,PRT_1,transport,billion_km,1.083857171080147
51,heavy_transport_ev,PRT_2,transport,billion_km,1.2573442999121838
51,heavy_transport_ice,PRT_1,transport,billion_km,5.131462054788926e-06
