spores,locs,carriers,unit,electrification_rate_road_transport
162,PRT_1,transport,fraction,0.9999997313211112
162,PRT_2,transport,fraction,0.9999998221638206
163,PRT_1,transport,fraction,0.9999982295826109
163,PRT_2,transport,fraction,0.9999988748465678
164,PRT_1,transport,fraction,0.9999987075896487
164,PRT_2,transport,fraction,0.999999171103597
165,PRT_1,transport,fraction,0.9999977576256145
165,PRT_2,transport,fraction,0.9999981933252376
166,PRT_1,transport,fraction,0.9999980177730026
166,PRT_2,transport,fraction,0.9999970492586142
167,PRT_1,transport,fraction,0.9999976103694712
167,PRT_2,transport,fraction,0.9999963654014098
168,PRT_1,transport,fraction,0.9999770505120154
168,PRT_2,transport,fraction,0.9999613189501686
169,PRT_1,transport,fraction,0.9999973347917592
169,PRT_2,transport,fraction,0.9999955245638199
170,PRT_1,transport,fraction,0.9999949267472111
170,PRT_2,transport,fraction,0.9999912906208966
171,PRT_1,transport,fraction,0.9999988323917762
171,PRT_2,transport,fraction,0.9999990383125126
172,PRT_1,transport,fraction,0.9999983136750635
172,PRT_2,transport,fraction,0.9999986287201575
173,PRT_1,transport,fraction,0.9999983426873119
173,PRT_2,transport,fraction,0.9999986077812073
174,PRT_1,transport,fraction,0.999978362553441
174,PRT_2,transport,fraction,0.9999815850319603
175,PRT_1,transport,fraction,0.9999980724722319
175,PRT_2,transport,fraction,0.999998357222963
176,PRT_1,transport,fraction,0.9999732478827685
176,PRT_2,transport,fraction,0.9999771864627386
177,PRT_1,transport,fraction,0.9999952534178235
177,PRT_2,transport,fraction,0.9999959176515201
178,PRT_1,transport,fraction,0.9999987285069071
178,PRT_2,transport,fraction,0.9999989166813943
179,PRT_1,transport,fraction,0.9999976096197963
179,PRT_2,transport,fraction,0.9999979960643508
180,PRT_1,transport,fraction,0.9999975290637435
180,PRT_2,transport,fraction,0.9999975086512011
181,PRT_1,transport,fraction,0.9999913437014648
181,PRT_2,transport,fraction,0.9999858462305738
182,PRT_1,transport,fraction,0.999998811066533
182,PRT_2,transport,fraction,0.999998423272012
183,PRT_1,transport,fraction,0.9999988984490222
183,PRT_2,transport,fraction,0.9999984307067296
184,PRT_1,transport,fraction,0.9999987899392894
184,PRT_2,transport,fraction,0.9999980802094521
185,PRT_1,transport,fraction,0.999998038912733
185,PRT_2,transport,fraction,0.9999976839155942
186,PRT_1,transport,fraction,0.9999983434330734
186,PRT_2,transport,fraction,0.999997774182933
187,PRT_1,transport,fraction,0.9999978257442418
187,PRT_2,transport,fraction,0.9999974920027249
188,PRT_1,transport,fraction,0.9999986441558252
188,PRT_2,transport,fraction,0.9999980388176755
189,PRT_1,transport,fraction,0.9999982654178993
189,PRT_2,transport,fraction,0.9999972741523415
190,PRT_1,transport,fraction,0.9999974604393338
190,PRT_2,transport,fraction,0.9999960379881863
191,PRT_1,transport,fraction,0.9999981905507709
191,PRT_2,transport,fraction,0.9999977174114068
192,PRT_1,transport,fraction,0.9999990865799043
192,PRT_2,transport,fraction,0.9999986377398572
193,PRT_1,transport,fraction,0.9999987233106743
193,PRT_2,transport,fraction,0.9999981054803433
194,PRT_1,transport,fraction,0.9999995383445436
194,PRT_2,transport,fraction,0.9999993870773118
195,PRT_1,transport,fraction,0.9999983664335022
195,PRT_2,transport,fraction,0.9999976408170794
196,PRT_1,transport,fraction,0.9999991780750026
196,PRT_2,transport,fraction,0.9999987832997106
197,PRT_1,transport,fraction,0.9999983293220928
197,PRT_2,transport,fraction,0.9999971175139754
198,PRT_1,transport,fraction,0.9999982945488638
198,PRT_2,transport,fraction,0.9999969130835861
199,PRT_1,transport,fraction,0.9999985002271496
199,PRT_2,transport,fraction,0.9999970920633132
200,PRT_1,transport,fraction,0.9999980423131091
200,PRT_2,transport,fraction,0.9999961517829177
201,PRT_1,transport,fraction,0.9999987943057894
201,PRT_2,transport,fraction,0.9999982709193502
202,PRT_1,transport,fraction,0.9999987964638721
202,PRT_2,transport,fraction,0.9999982470236347
203,PRT_1,transport,fraction,0.9999990301653011
203,PRT_2,transport,fraction,0.9999987578445899
204,PRT_1,transport,fraction,0.9999982196247355
204,PRT_2,transport,fraction,0.9999978709749158
205,PRT_1,transport,fraction,0.9999989424254709
205,PRT_2,transport,fraction,0.999998681437256
206,PRT_1,transport,fraction,0.9999979674024373
206,PRT_2,transport,fraction,0.9999976713206167
207,PRT_1,transport,fraction,0.9999919996952031
207,PRT_2,transport,fraction,0.9999911966360628
208,PRT_1,transport,fraction,0.9999985696181507
208,PRT_2,transport,fraction,0.9999982178582844
209,PRT_1,transport,fraction,0.999997595820397
209,PRT_2,transport,fraction,0.9999971046685011
210,PRT_1,transport,fraction,0.9999978856930135
210,PRT_2,transport,fraction,0.9999973465173206
211,PRT_1,transport,fraction,0.9999987400304509
211,PRT_2,transport,fraction,0.9999978840454565
212,PRT_1,transport,fraction,0.9999980239540955
212,PRT_2,transport,fraction,0.9999971288829655
213,PRT_1,transport,fraction,0.9999982167461587
213,PRT_2,transport,fraction,0.9999972297286539
214,PRT_1,transport,fraction,0.9999976773113106
214,PRT_2,transport,fraction,0.9999969667755056
